G-CORE X1 PHYSICAL COORDINATES
LAYER M1 (Poly): 
GATE_0: X=2.8716, Y=3.8316
GATE_1: X=3.8014, Y=1.2867
GATE_2: X=0.8051, Y=0.6318
GATE_3: X=3.6241, Y=2.9231
GATE_4: X=0.2797, Y=2.7579
GATE_5: X=2.4881, Y=3.3810
GATE_6: X=1.3451, Y=0.6942
GATE_7: X=2.3803, Y=1.6459
GATE_8: X=3.2424, Y=1.0780
GATE_9: X=0.6112, Y=0.0766
GATE_10: X=2.8467, Y=0.7351
GATE_11: X=2.2734, Y=1.0175
GATE_12: X=2.7626, Y=0.3815
GATE_13: X=3.6953, Y=2.5325
GATE_14: X=3.9836, Y=3.3486
GATE_15: X=0.9585, Y=1.6428
GATE_16: X=3.4250, Y=2.7270
GATE_17: X=2.7703, Y=2.6712
GATE_18: X=2.3861, Y=2.5961
GATE_19: X=0.9832, Y=3.2344
GATE_20: X=3.2877, Y=3.8295
GATE_21: X=3.9284, Y=2.3277
GATE_22: X=0.1920, Y=2.4110
GATE_23: X=0.7960, Y=0.2823
GATE_24: X=0.5859, Y=2.8293
GATE_25: X=3.1201, Y=3.3476
GATE_26: X=1.6751, Y=0.7298
GATE_27: X=0.7949, Y=3.1302
GATE_28: X=1.3010, Y=2.9122
GATE_29: X=2.3930, Y=1.4199
GATE_30: X=0.1898, Y=1.1486
GATE_31: X=1.4416, Y=2.0293
GATE_32: X=2.1307, Y=2.3841
GATE_33: X=3.1833, Y=2.6552
GATE_34: X=2.7106, Y=3.9477
GATE_35: X=0.5759, Y=0.5173
GATE_36: X=1.7534, Y=2.2411
GATE_37: X=1.5178, Y=2.6629
GATE_38: X=3.4790, Y=2.6164
GATE_39: X=0.4392, Y=2.5386
GATE_40: X=0.0715, Y=1.6245
GATE_41: X=0.2349, Y=2.0328
GATE_42: X=1.3772, Y=2.4168
GATE_43: X=0.9769, Y=1.1977
GATE_44: X=0.0485, Y=3.1757
GATE_45: X=2.2145, Y=3.8337
GATE_46: X=2.9420, Y=3.9543
GATE_47: X=1.6974, Y=1.3416
GATE_48: X=0.7221, Y=2.0315
GATE_49: X=1.3363, Y=2.3848
GATE_50: X=1.4016, Y=1.1446
GATE_51: X=1.1000, Y=0.8258
GATE_52: X=0.7183, Y=1.7639
GATE_53: X=1.5716, Y=2.8405
GATE_54: X=1.1321, Y=3.7771
GATE_55: X=3.0194, Y=2.1620
GATE_56: X=3.9252, Y=1.7117
GATE_57: X=0.0974, Y=2.2845
GATE_58: X=0.8280, Y=0.3008
GATE_59: X=2.5361, Y=3.6604
GATE_60: X=1.1075, Y=3.6935
GATE_61: X=2.6800, Y=1.6140
GATE_62: X=0.0725, Y=0.7658
GATE_63: X=3.7094, Y=1.7532
GATE_64: X=2.8630, Y=0.0639
GATE_65: X=3.4196, Y=1.8906
GATE_66: X=3.6467, Y=3.2217
GATE_67: X=2.9120, Y=1.3200
GATE_68: X=0.6432, Y=3.5203
GATE_69: X=0.2208, Y=3.3275
GATE_70: X=0.1740, Y=0.8329
GATE_71: X=2.8430, Y=1.7634
GATE_72: X=0.4541, Y=3.5744
GATE_73: X=2.7863, Y=1.2433
GATE_74: X=1.7793, Y=2.2329
GATE_75: X=2.5975, Y=1.4362
GATE_76: X=1.4037, Y=2.1313
GATE_77: X=0.1830, Y=1.0488
GATE_78: X=2.9455, Y=1.5887
GATE_79: X=2.8024, Y=0.8154
GATE_80: X=1.9944, Y=2.4690
GATE_81: X=2.1950, Y=0.1142
GATE_82: X=3.5257, Y=0.7329
GATE_83: X=1.9122, Y=3.7991
GATE_84: X=1.6034, Y=0.2360
GATE_85: X=1.6867, Y=1.2960
GATE_86: X=0.8789, Y=2.8180
GATE_87: X=1.6077, Y=1.2456
GATE_88: X=2.3251, Y=2.6427
GATE_89: X=1.9868, Y=0.4798
GATE_90: X=1.4289, Y=0.6623
GATE_91: X=1.8224, Y=1.8304
GATE_92: X=2.8851, Y=0.4404
GATE_93: X=0.3970, Y=1.0380
GATE_94: X=1.5247, Y=3.6378
GATE_95: X=3.3268, Y=3.8945
GATE_96: X=2.0412, Y=2.1747
GATE_97: X=0.9376, Y=1.8708
GATE_98: X=0.9150, Y=0.8846
GATE_99: X=0.2520, Y=0.1080
